SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","9/30/2024","d54686f0-77ff-43f3-9e7c-2099030d32a7","Azure DNS","All","All","Public Queries","0.001456","0.000579"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","10/1/2024","d54686f0-77ff-43f3-9e7c-2099030d32a7","Azure DNS","All","All","Public Queries","0.002544","0.001018"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","10/2/2024","d54686f0-77ff-43f3-9e7c-2099030d32a7","Azure DNS","All","All","Public Queries","0.001666","0.000661"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","10/3/2024","d54686f0-77ff-43f3-9e7c-2099030d32a7","Azure DNS","All","All","Public Queries","0.006691","0.002673"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","10/4/2024","d54686f0-77ff-43f3-9e7c-2099030d32a7","Azure DNS","All","All","Public Queries","0.001706","0.000677"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","10/5/2024","d54686f0-77ff-43f3-9e7c-2099030d32a7","Azure DNS","All","All","Public Queries","0.001907","0.000761"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","10/6/2024","d54686f0-77ff-43f3-9e7c-2099030d32a7","Azure DNS","All","All","Public Queries","0.001837","0.000738"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","10/7/2024","d54686f0-77ff-43f3-9e7c-2099030d32a7","Azure DNS","All","All","Public Queries","0.00158","0.000631"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","10/8/2024","d54686f0-77ff-43f3-9e7c-2099030d32a7","Azure DNS","All","All","Public Queries","0.001823","0.000728"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","10/9/2024","d54686f0-77ff-43f3-9e7c-2099030d32a7","Azure DNS","All","All","Public Queries","0.001675","0.000667"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","10/10/2024","d54686f0-77ff-43f3-9e7c-2099030d32a7","Azure DNS","All","All","Public Queries","0.001833","0.000730"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","10/11/2024","d54686f0-77ff-43f3-9e7c-2099030d32a7","Azure DNS","All","All","Public Queries","0.001911","0.000766"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","10/12/2024","d54686f0-77ff-43f3-9e7c-2099030d32a7","Azure DNS","All","All","Public Queries","0.001727","0.000693"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","10/13/2024","d54686f0-77ff-43f3-9e7c-2099030d32a7","Azure DNS","All","All","Public Queries","0.001797","0.000721"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","10/14/2024","d54686f0-77ff-43f3-9e7c-2099030d32a7","Azure DNS","All","All","Public Queries","0.001669","0.000669"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","10/15/2024","d54686f0-77ff-43f3-9e7c-2099030d32a7","Azure DNS","All","All","Public Queries","0.001892","0.000757"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","10/16/2024","d54686f0-77ff-43f3-9e7c-2099030d32a7","Azure DNS","All","All","Public Queries","0.002156","0.000856"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","10/17/2024","d54686f0-77ff-43f3-9e7c-2099030d32a7","Azure DNS","All","All","Public Queries","0.001597","0.000635"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","10/18/2024","d54686f0-77ff-43f3-9e7c-2099030d32a7","Azure DNS","All","All","Public Queries","0.000621","0.000245"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","9/30/2024","839c4a20-9584-42af-a885-2798d1f027ba","Storage","Standard SSD Managed Disks","BR South","E20 LRS Disk","0.033336","2.389536"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","10/1/2024","839c4a20-9584-42af-a885-2798d1f027ba","Storage","Standard SSD Managed Disks","BR South","E20 LRS Disk","0.032256","2.312112"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","10/2/2024","839c4a20-9584-42af-a885-2798d1f027ba","Storage","Standard SSD Managed Disks","BR South","E20 LRS Disk","0.032256","2.312112"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","10/3/2024","839c4a20-9584-42af-a885-2798d1f027ba","Storage","Standard SSD Managed Disks","BR South","E20 LRS Disk","0.032256","2.312112"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","10/4/2024","839c4a20-9584-42af-a885-2798d1f027ba","Storage","Standard SSD Managed Disks","BR South","E20 LRS Disk","0.032256","2.312112"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","10/5/2024","839c4a20-9584-42af-a885-2798d1f027ba","Storage","Standard SSD Managed Disks","BR South","E20 LRS Disk","0.032256","2.312112"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","10/6/2024","839c4a20-9584-42af-a885-2798d1f027ba","Storage","Standard SSD Managed Disks","BR South","E20 LRS Disk","0.032256","2.312112"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","10/7/2024","839c4a20-9584-42af-a885-2798d1f027ba","Storage","Standard SSD Managed Disks","BR South","E20 LRS Disk","0.032256","2.312112"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","10/8/2024","839c4a20-9584-42af-a885-2798d1f027ba","Storage","Standard SSD Managed Disks","BR South","E20 LRS Disk","0.032256","2.312112"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","10/9/2024","839c4a20-9584-42af-a885-2798d1f027ba","Storage","Standard SSD Managed Disks","BR South","E20 LRS Disk","0.032256","2.312112"
