SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
"Microsoft Azure Sponsorship","15dc64f3-696a-48fc-9169-8467e3f7bba0","9/30/2024","b0931109-47c5-42e9-a548-00adac804b4b","Storage","Standard HDD Managed Disks","BR South","Snapshots ZRS Snapshots","1.546824","0.105192"
"Microsoft Azure Sponsorship","15dc64f3-696a-48fc-9169-8467e3f7bba0","10/1/2024","b0931109-47c5-42e9-a548-00adac804b4b","Storage","Standard HDD Managed Disks","BR South","Snapshots ZRS Snapshots","1.496952","0.101808"
"Microsoft Azure Sponsorship","15dc64f3-696a-48fc-9169-8467e3f7bba0","10/2/2024","b0931109-47c5-42e9-a548-00adac804b4b","Storage","Standard HDD Managed Disks","BR South","Snapshots ZRS Snapshots","1.496952","0.101808"
"Microsoft Azure Sponsorship","15dc64f3-696a-48fc-9169-8467e3f7bba0","10/3/2024","b0931109-47c5-42e9-a548-00adac804b4b","Storage","Standard HDD Managed Disks","BR South","Snapshots ZRS Snapshots","1.496952","0.101808"
"Microsoft Azure Sponsorship","15dc64f3-696a-48fc-9169-8467e3f7bba0","10/4/2024","b0931109-47c5-42e9-a548-00adac804b4b","Storage","Standard HDD Managed Disks","BR South","Snapshots ZRS Snapshots","1.496952","0.101808"
"Microsoft Azure Sponsorship","15dc64f3-696a-48fc-9169-8467e3f7bba0","10/5/2024","b0931109-47c5-42e9-a548-00adac804b4b","Storage","Standard HDD Managed Disks","BR South","Snapshots ZRS Snapshots","1.496952","0.101808"
"Microsoft Azure Sponsorship","15dc64f3-696a-48fc-9169-8467e3f7bba0","10/6/2024","b0931109-47c5-42e9-a548-00adac804b4b","Storage","Standard HDD Managed Disks","BR South","Snapshots ZRS Snapshots","1.496952","0.101808"
"Microsoft Azure Sponsorship","15dc64f3-696a-48fc-9169-8467e3f7bba0","10/7/2024","b0931109-47c5-42e9-a548-00adac804b4b","Storage","Standard HDD Managed Disks","BR South","Snapshots ZRS Snapshots","1.496952","0.101808"
"Microsoft Azure Sponsorship","15dc64f3-696a-48fc-9169-8467e3f7bba0","10/8/2024","b0931109-47c5-42e9-a548-00adac804b4b","Storage","Standard HDD Managed Disks","BR South","Snapshots ZRS Snapshots","1.496952","0.101808"
"Microsoft Azure Sponsorship","15dc64f3-696a-48fc-9169-8467e3f7bba0","10/9/2024","b0931109-47c5-42e9-a548-00adac804b4b","Storage","Standard HDD Managed Disks","BR South","Snapshots ZRS Snapshots","1.496952","0.101808"
"Microsoft Azure Sponsorship","15dc64f3-696a-48fc-9169-8467e3f7bba0","10/10/2024","b0931109-47c5-42e9-a548-00adac804b4b","Storage","Standard HDD Managed Disks","BR South","Snapshots ZRS Snapshots","1.496952","0.101808"
"Microsoft Azure Sponsorship","15dc64f3-696a-48fc-9169-8467e3f7bba0","10/11/2024","b0931109-47c5-42e9-a548-00adac804b4b","Storage","Standard HDD Managed Disks","BR South","Snapshots ZRS Snapshots","1.496952","0.101808"
"Microsoft Azure Sponsorship","15dc64f3-696a-48fc-9169-8467e3f7bba0","10/12/2024","b0931109-47c5-42e9-a548-00adac804b4b","Storage","Standard HDD Managed Disks","BR South","Snapshots ZRS Snapshots","1.496952","0.101808"
