SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","9/5/2024","d54686f0-77ff-43f3-9e7c-2099030d32a7","Azure DNS","All","All","Public Queries","0.001767","0.000706"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","9/6/2024","d54686f0-77ff-43f3-9e7c-2099030d32a7","Azure DNS","All","All","Public Queries","0.00213","0.000853"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","9/7/2024","d54686f0-77ff-43f3-9e7c-2099030d32a7","Azure DNS","All","All","Public Queries","0.002039","0.000813"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","9/8/2024","d54686f0-77ff-43f3-9e7c-2099030d32a7","Azure DNS","All","All","Public Queries","0.004067","0.001623"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","9/9/2024","d54686f0-77ff-43f3-9e7c-2099030d32a7","Azure DNS","All","All","Public Queries","0.002893","0.001151"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","9/10/2024","d54686f0-77ff-43f3-9e7c-2099030d32a7","Azure DNS","All","All","Public Queries","0.001732","0.000693"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","9/11/2024","d54686f0-77ff-43f3-9e7c-2099030d32a7","Azure DNS","All","All","Public Queries","0.002075","0.000832"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","9/12/2024","d54686f0-77ff-43f3-9e7c-2099030d32a7","Azure DNS","All","All","Public Queries","0.001821","0.000733"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","9/13/2024","d54686f0-77ff-43f3-9e7c-2099030d32a7","Azure DNS","All","All","Public Queries","0.001796","0.000712"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","9/14/2024","d54686f0-77ff-43f3-9e7c-2099030d32a7","Azure DNS","All","All","Public Queries","0.004578","0.001829"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","9/15/2024","d54686f0-77ff-43f3-9e7c-2099030d32a7","Azure DNS","All","All","Public Queries","0.001978","0.000795"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","9/16/2024","d54686f0-77ff-43f3-9e7c-2099030d32a7","Azure DNS","All","All","Public Queries","0.001444","0.000569"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","9/17/2024","d54686f0-77ff-43f3-9e7c-2099030d32a7","Azure DNS","All","All","Public Queries","0.001298","0.000511"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","9/18/2024","d54686f0-77ff-43f3-9e7c-2099030d32a7","Azure DNS","All","All","Public Queries","0.001679","0.000672"
