SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
Microsoft Azure Sponsorship,e567a9da-afce-49f1-86e3-86f976ff5fcf,3/17/2024,01caecf8-c1e4-4885-8c13-3292721482fe,Azure App Service,Basic Plan,BR South,B1 App,0.546489,0.050004
Microsoft Azure Sponsorship,e567a9da-afce-49f1-86e3-86f976ff5fcf,3/18/2024,01caecf8-c1e4-4885-8c13-3292721482fe,Azure App Service,Basic Plan,BR South,B1 App,24,2.196
Microsoft Azure Sponsorship,e567a9da-afce-49f1-86e3-86f976ff5fcf,3/19/2024,01caecf8-c1e4-4885-8c13-3292721482fe,Azure App Service,Basic Plan,BR South,B1 App,24,2.196
Microsoft Azure Sponsorship,e567a9da-afce-49f1-86e3-86f976ff5fcf,3/20/2024,01caecf8-c1e4-4885-8c13-3292721482fe,Azure App Service,Basic Plan,BR South,B1 App,24,2.196
Microsoft Azure Sponsorship,e567a9da-afce-49f1-86e3-86f976ff5fcf,3/21/2024,01caecf8-c1e4-4885-8c13-3292721482fe,Azure App Service,Basic Plan,BR South,B1 App,24,2.196
Microsoft Azure Sponsorship,e567a9da-afce-49f1-86e3-86f976ff5fcf,3/22/2024,01caecf8-c1e4-4885-8c13-3292721482fe,Azure App Service,Basic Plan,BR South,B1 App,24,2.196
Microsoft Azure Sponsorship,e567a9da-afce-49f1-86e3-86f976ff5fcf,3/23/2024,01caecf8-c1e4-4885-8c13-3292721482fe,Azure App Service,Basic Plan,BR South,B1 App,24,2.196
Microsoft Azure Sponsorship,e567a9da-afce-49f1-86e3-86f976ff5fcf,3/24/2024,01caecf8-c1e4-4885-8c13-3292721482fe,Azure App Service,Basic Plan,BR South,B1 App,24,2.196
Microsoft Azure Sponsorship,e567a9da-afce-49f1-86e3-86f976ff5fcf,3/25/2024,01caecf8-c1e4-4885-8c13-3292721482fe,Azure App Service,Basic Plan,BR South,B1 App,24,2.196
Microsoft Azure Sponsorship,e567a9da-afce-49f1-86e3-86f976ff5fcf,3/26/2024,01caecf8-c1e4-4885-8c13-3292721482fe,Azure App Service,Basic Plan,BR South,B1 App,24,2.196
Microsoft Azure Sponsorship,e567a9da-afce-49f1-86e3-86f976ff5fcf,3/27/2024,01caecf8-c1e4-4885-8c13-3292721482fe,Azure App Service,Basic Plan,BR South,B1 App,24,2.196
Microsoft Azure Sponsorship,e567a9da-afce-49f1-86e3-86f976ff5fcf,3/28/2024,01caecf8-c1e4-4885-8c13-3292721482fe,Azure App Service,Basic Plan,BR South,B1 App,24,2.196
Microsoft Azure Sponsorship,e567a9da-afce-49f1-86e3-86f976ff5fcf,3/29/2024,01caecf8-c1e4-4885-8c13-3292721482fe,Azure App Service,Basic Plan,BR South,B1 App,24,2.196
Microsoft Azure Sponsorship,e567a9da-afce-49f1-86e3-86f976ff5fcf,3/30/2024,01caecf8-c1e4-4885-8c13-3292721482fe,Azure App Service,Basic Plan,BR South,B1 App,24,2.196
Microsoft Azure Sponsorship,e567a9da-afce-49f1-86e3-86f976ff5fcf,3/31/2024,01caecf8-c1e4-4885-8c13-3292721482fe,Azure App Service,Basic Plan,BR South,B1 App,24,2.196
Microsoft Azure Sponsorship,e567a9da-afce-49f1-86e3-86f976ff5fcf,4/1/2024,01caecf8-c1e4-4885-8c13-3292721482fe,Azure App Service,Basic Plan,BR South,B1 App,24,2.196
Microsoft Azure Sponsorship,e567a9da-afce-49f1-86e3-86f976ff5fcf,4/2/2024,01caecf8-c1e4-4885-8c13-3292721482fe,Azure App Service,Basic Plan,BR South,B1 App,24,2.196
Microsoft Azure Sponsorship,e567a9da-afce-49f1-86e3-86f976ff5fcf,4/3/2024,01caecf8-c1e4-4885-8c13-3292721482fe,Azure App Service,Basic Plan,BR South,B1 App,24,2.196
Microsoft Azure Sponsorship,e567a9da-afce-49f1-86e3-86f976ff5fcf,4/4/2024,01caecf8-c1e4-4885-8c13-3292721482fe,Azure App Service,Basic Plan,BR South,B1 App,24,2.196
Microsoft Azure Sponsorship,e567a9da-afce-49f1-86e3-86f976ff5fcf,4/5/2024,01caecf8-c1e4-4885-8c13-3292721482fe,Azure App Service,Basic Plan,BR South,B1 App,24,2.196
Microsoft Azure Sponsorship,e567a9da-afce-49f1-86e3-86f976ff5fcf,4/6/2024,01caecf8-c1e4-4885-8c13-3292721482fe,Azure App Service,Basic Plan,BR South,B1 App,24,2.196
Microsoft Azure Sponsorship,e567a9da-afce-49f1-86e3-86f976ff5fcf,4/7/2024,01caecf8-c1e4-4885-8c13-3292721482fe,Azure App Service,Basic Plan,BR South,B1 App,24,2.196
Microsoft Azure Sponsorship,e567a9da-afce-49f1-86e3-86f976ff5fcf,4/8/2024,01caecf8-c1e4-4885-8c13-3292721482fe,Azure App Service,Basic Plan,BR South,B1 App,24,2.196
Microsoft Azure Sponsorship,e567a9da-afce-49f1-86e3-86f976ff5fcf,4/9/2024,01caecf8-c1e4-4885-8c13-3292721482fe,Azure App Service,Basic Plan,BR South,B1 App,24,2.196
