SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
"Microsoft Azure Sponsorship","15dc64f3-696a-48fc-9169-8467e3f7bba0","1/1/2025","b0931109-47c5-42e9-a548-00adac804b4b","Storage","Standard HDD Managed Disks","BR South","Snapshots ZRS Snapshots","1.496952","0.101808"
"Microsoft Azure Sponsorship","15dc64f3-696a-48fc-9169-8467e3f7bba0","1/2/2025","b0931109-47c5-42e9-a548-00adac804b4b","Storage","Standard HDD Managed Disks","BR South","Snapshots ZRS Snapshots","1.496952","0.101808"
"Microsoft Azure Sponsorship","15dc64f3-696a-48fc-9169-8467e3f7bba0","1/3/2025","b0931109-47c5-42e9-a548-00adac804b4b","Storage","Standard HDD Managed Disks","BR South","Snapshots ZRS Snapshots","1.496952","0.101808"
"Microsoft Azure Sponsorship","15dc64f3-696a-48fc-9169-8467e3f7bba0","1/4/2025","b0931109-47c5-42e9-a548-00adac804b4b","Storage","Standard HDD Managed Disks","BR South","Snapshots ZRS Snapshots","1.496952","0.101808"
"Microsoft Azure Sponsorship","15dc64f3-696a-48fc-9169-8467e3f7bba0","1/5/2025","b0931109-47c5-42e9-a548-00adac804b4b","Storage","Standard HDD Managed Disks","BR South","Snapshots ZRS Snapshots","1.496952","0.101808"
"Microsoft Azure Sponsorship","15dc64f3-696a-48fc-9169-8467e3f7bba0","1/6/2025","b0931109-47c5-42e9-a548-00adac804b4b","Storage","Standard HDD Managed Disks","BR South","Snapshots ZRS Snapshots","1.496952","0.101808"
"Microsoft Azure Sponsorship","15dc64f3-696a-48fc-9169-8467e3f7bba0","1/7/2025","b0931109-47c5-42e9-a548-00adac804b4b","Storage","Standard HDD Managed Disks","BR South","Snapshots ZRS Snapshots","1.496952","0.101808"
"Microsoft Azure Sponsorship","15dc64f3-696a-48fc-9169-8467e3f7bba0","1/8/2025","b0931109-47c5-42e9-a548-00adac804b4b","Storage","Standard HDD Managed Disks","BR South","Snapshots ZRS Snapshots","1.496952","0.101808"
"Microsoft Azure Sponsorship","15dc64f3-696a-48fc-9169-8467e3f7bba0","1/9/2025","b0931109-47c5-42e9-a548-00adac804b4b","Storage","Standard HDD Managed Disks","BR South","Snapshots ZRS Snapshots","1.496952","0.101808"
"Microsoft Azure Sponsorship","15dc64f3-696a-48fc-9169-8467e3f7bba0","1/10/2025","b0931109-47c5-42e9-a548-00adac804b4b","Storage","Standard HDD Managed Disks","BR South","Snapshots ZRS Snapshots","1.496952","0.101808"
"Microsoft Azure Sponsorship","15dc64f3-696a-48fc-9169-8467e3f7bba0","1/11/2025","b0931109-47c5-42e9-a548-00adac804b4b","Storage","Standard HDD Managed Disks","BR South","Snapshots ZRS Snapshots","1.496952","0.101808"
"Microsoft Azure Sponsorship","15dc64f3-696a-48fc-9169-8467e3f7bba0","1/12/2025","b0931109-47c5-42e9-a548-00adac804b4b","Storage","Standard HDD Managed Disks","BR South","Snapshots ZRS Snapshots","1.496952","0.101808"
"Microsoft Azure Sponsorship","15dc64f3-696a-48fc-9169-8467e3f7bba0","1/13/2025","b0931109-47c5-42e9-a548-00adac804b4b","Storage","Standard HDD Managed Disks","BR South","Snapshots ZRS Snapshots","1.496952","0.101808"
"Microsoft Azure Sponsorship","15dc64f3-696a-48fc-9169-8467e3f7bba0","1/14/2025","b0931109-47c5-42e9-a548-00adac804b4b","Storage","Standard HDD Managed Disks","BR South","Snapshots ZRS Snapshots","1.496952","0.101808"
"Microsoft Azure Sponsorship","15dc64f3-696a-48fc-9169-8467e3f7bba0","1/15/2025","b0931109-47c5-42e9-a548-00adac804b4b","Storage","Standard HDD Managed Disks","BR South","Snapshots ZRS Snapshots","1.496952","0.101808"
"Microsoft Azure Sponsorship","15dc64f3-696a-48fc-9169-8467e3f7bba0","1/16/2025","b0931109-47c5-42e9-a548-00adac804b4b","Storage","Standard HDD Managed Disks","BR South","Snapshots ZRS Snapshots","1.496952","0.101808"
"Microsoft Azure Sponsorship","15dc64f3-696a-48fc-9169-8467e3f7bba0","1/17/2025","b0931109-47c5-42e9-a548-00adac804b4b","Storage","Standard HDD Managed Disks","BR South","Snapshots ZRS Snapshots","1.496952","0.101808"
"Microsoft Azure Sponsorship","15dc64f3-696a-48fc-9169-8467e3f7bba0","1/18/2025","b0931109-47c5-42e9-a548-00adac804b4b","Storage","Standard HDD Managed Disks","BR South","Snapshots ZRS Snapshots","1.496952","0.101808"
"Microsoft Azure Sponsorship","15dc64f3-696a-48fc-9169-8467e3f7bba0","1/19/2025","b0931109-47c5-42e9-a548-00adac804b4b","Storage","Standard HDD Managed Disks","BR South","Snapshots ZRS Snapshots","1.496952","0.101808"
"Microsoft Azure Sponsorship","15dc64f3-696a-48fc-9169-8467e3f7bba0","1/20/2025","b0931109-47c5-42e9-a548-00adac804b4b","Storage","Standard HDD Managed Disks","BR South","Snapshots ZRS Snapshots","1.496952","0.101808"
"Microsoft Azure Sponsorship","15dc64f3-696a-48fc-9169-8467e3f7bba0","1/21/2025","b0931109-47c5-42e9-a548-00adac804b4b","Storage","Standard HDD Managed Disks","BR South","Snapshots ZRS Snapshots","1.496952","0.101808"
