SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","9/19/2023","c80a3636-2edb-4248-bcb1-04ef818a75ac","Storage","Standard Page Blob","All","Disk Write Operations","0.144","0.000048"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","9/20/2023","c80a3636-2edb-4248-bcb1-04ef818a75ac","Storage","Standard Page Blob","All","Disk Write Operations","0.1438","0.000048"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","9/21/2023","c80a3636-2edb-4248-bcb1-04ef818a75ac","Storage","Standard Page Blob","All","Disk Write Operations","0.144","0.000048"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","9/22/2023","c80a3636-2edb-4248-bcb1-04ef818a75ac","Storage","Standard Page Blob","All","Disk Write Operations","0.144","0.000048"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","9/23/2023","c80a3636-2edb-4248-bcb1-04ef818a75ac","Storage","Standard Page Blob","All","Disk Write Operations","0.144","0.000048"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","9/24/2023","c80a3636-2edb-4248-bcb1-04ef818a75ac","Storage","Standard Page Blob","All","Disk Write Operations","0.144","0.000048"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","9/25/2023","c80a3636-2edb-4248-bcb1-04ef818a75ac","Storage","Standard Page Blob","All","Disk Write Operations","0.1439","0.000048"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","9/26/2023","c80a3636-2edb-4248-bcb1-04ef818a75ac","Storage","Standard Page Blob","All","Disk Write Operations","0.1439","0.000048"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","9/27/2023","c80a3636-2edb-4248-bcb1-04ef818a75ac","Storage","Standard Page Blob","All","Disk Write Operations","0.144","0.000048"
"Microsoft Azure Sponsorship","0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68","9/28/2023","c80a3636-2edb-4248-bcb1-04ef818a75ac","Storage","Standard Page Blob","All","Disk Write Operations","0.1442","0.000048"
